2023-24 NBA Season Summary

Category,Winner,Stat
League Champion,Boston Celtics,
Most Valuable Player,Nikola Jokić,26.4/12.4/9.0
Rookie of the Year,Victor Wembanyama,21.4/10.6/3.9
PPG Leader,Luka Dončić,33.9
RPG Leader,Domantas Sabonis,13.7
APG Leader,Tyrese Haliburton,10.9
WS Leader,Nikola Jokić,17.0

Conference,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
Eastern Conference,Boston Celtics*,64,18,0.780,—,120.6,109.2,10.75
Eastern Conference,New York Knicks*,50,32,0.610,14.0,112.8,108.2,4.36
Eastern Conference,Milwaukee Bucks*,49,33,0.598,15.0,119.0,116.4,2.44
Eastern Conference,Cleveland Cavaliers*,48,34,0.585,16.0,112.6,110.2,1.98
Eastern Conference,Orlando Magic*,47,35,0.573,17.0,110.5,108.4,1.48
Eastern Conference,Indiana Pacers*,47,35,0.573,17.0,123.3,120.2,2.75
Eastern Conference,Philadelphia 76ers*,47,35,0.573,17.0,114.6,111.5,2.51
Eastern Conference,Miami Heat*,46,36,0.561,18.0,110.1,108.4,1.10
Eastern Conference,Chicago Bulls,39,43,0.476,25.0,112.3,113.7,-1.77
Eastern Conference,Atlanta Hawks,36,46,0.439,28.0,118.3,120.5,-2.38
Eastern Conference,Brooklyn Nets,32,50,0.390,32.0,110.4,113.3,-3.02
Eastern Conference,Toronto Raptors,25,57,0.305,39.0,112.4,118.8,-6.45
Eastern Conference,Charlotte Hornets,21,61,0.256,43.0,106.6,116.8,-10.12
Eastern Conference,Washington Wizards,15,67,0.183,49.0,113.7,123.0,-9.29
Eastern Conference,Detroit Pistons,14,68,0.171,50.0,109.9,119.0,-9.06
Western Conference,Oklahoma City Thunder*,57,25,0.695,—,120.1,112.7,7.36
Western Conference,Denver Nuggets*,57,25,0.695,—,114.9,109.6,5.23
Western Conference,Minnesota Timberwolves*,56,26,0.683,1.0,113.0,106.5,6.39
Western Conference,Los Angeles Clippers*,51,31,0.622,6.0,115.6,112.3,3.41
Western Conference,Dallas Mavericks*,50,32,0.610,7.0,117.9,115.6,2.30
Western Conference,Phoenix Suns*,49,33,0.598,8.0,116.2,113.2,3.08
Western Conference,New Orleans Pelicans*,49,33,0.598,8.0,115.1,110.7,4.46
Western Conference,Los Angeles Lakers*,47,35,0.573,10.0,118.0,117.4,1.07
Western Conference,Sacramento Kings,46,36,0.561,11.0,116.6,114.8,2.29
Western Conference,Golden State Warriors,46,36,0.561,11.0,117.8,115.2,2.77
Western Conference,Houston Rockets,41,41,0.500,16.0,114.3,113.2,1.24
Western Conference,Utah Jazz,31,51,0.378,26.0,115.7,120.5,-4.22
Western Conference,Memphis Grizzlies,27,55,0.329,30.0,105.8,112.8,-6.57
Western Conference,San Antonio Spurs,22,60,0.268,35.0,112.1,118.6,-5.80
Western Conference,Portland Trail Blazers,21,61,0.256,36.0,106.4,115.4,-8.29
